names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000106565,187.0486,7.599379,0.0,0.0
ENSG00000144848,186.9434,3.611933,0.0,0.0
ENSG00000172936,186.92072,3.8608181,0.0,0.0
ENSG00000109332,186.84062,3.724744,0.0,0.0
ENSG00000122705,186.73637,3.2352018,0.0,0.0
ENSG00000131446,186.69394,3.548995,0.0,0.0
ENSG00000026297,186.11998,3.842225,0.0,0.0
ENSG00000171206,185.83667,3.4623878,0.0,0.0
ENSG00000106605,185.5002,4.400618,0.0,0.0
ENSG00000188313,185.28426,4.133146,0.0,0.0
ENSG00000149357,185.18866,3.2428916,0.0,0.0
ENSG00000183023,185.18465,5.1653686,0.0,0.0
ENSG00000123358,185.13808,5.7562065,0.0,0.0
ENSG00000135940,185.0636,3.790501,0.0,0.0
ENSG00000197006,185.0378,3.7709925,0.0,0.0
ENSG00000168769,184.90659,3.6650958,0.0,0.0
ENSG00000162924,184.88652,4.8053217,0.0,0.0
ENSG00000107551,184.82327,4.324127,0.0,0.0
ENSG00000135604,184.44743,4.96914,0.0,0.0
ENSG00000196562,184.09679,3.6314168,0.0,0.0
ENSG00000262202,184.09564,4.868645,0.0,0.0
ENSG00000196352,184.01721,4.001431,0.0,0.0
ENSG00000173020,183.69164,3.0968087,0.0,0.0
ENSG00000104972,183.65416,4.612227,0.0,0.0
ENSG00000176340,183.35281,3.4871204,0.0,0.0
ENSG00000178996,183.02145,5.0212092,0.0,0.0
ENSG00000166523,182.91249,7.104949,0.0,0.0
ENSG00000172757,182.86557,7.5213265,0.0,0.0
ENSG00000167468,182.58939,3.8463435,0.0,0.0
ENSG00000170275,182.38057,3.886821,0.0,0.0
ENSG00000204257,182.29051,3.5249217,0.0,0.0
ENSG00000084733,182.25354,3.5921147,0.0,0.0
ENSG00000113732,182.09007,3.317085,0.0,0.0
ENSG00000215301,181.76863,3.8765235,0.0,0.0
ENSG00000143162,181.55122,4.72649,0.0,0.0
ENSG00000134046,181.39313,3.451202,0.0,0.0
ENSG00000140455,181.2433,3.2243676,0.0,0.0
ENSG00000166913,181.05019,4.6267595,0.0,0.0
ENSG00000169100,180.81728,6.421074,0.0,0.0
ENSG00000137076,180.68924,4.2523985,0.0,0.0
ENSG00000242574,180.55148,3.3747807,0.0,0.0
ENSG00000116489,180.38792,3.133985,0.0,0.0
ENSG00000072062,180.11642,3.8727949,0.0,0.0
ENSG00000100077,179.84384,4.1213126,0.0,0.0
ENSG00000107341,179.72565,3.281269,0.0,0.0
ENSG00000135441,179.6315,3.2210348,0.0,0.0
ENSG00000156052,179.48811,3.566791,0.0,0.0
ENSG00000136286,179.31923,3.5281284,0.0,0.0
ENSG00000125347,178.998,7.1945777,0.0,0.0
ENSG00000084070,178.87709,4.11267,0.0,0.0
ENSG00000197872,178.83604,4.463164,0.0,0.0
ENSG00000134516,178.77916,3.256567,0.0,0.0
ENSG00000123338,178.48988,3.1257226,0.0,0.0
ENSG00000157557,178.29968,5.273565,0.0,0.0
ENSG00000159388,178.0161,5.100859,0.0,0.0
ENSG00000103642,177.86229,3.968373,0.0,0.0
ENSG00000180353,177.80374,3.3124566,0.0,0.0
ENSG00000108953,177.73222,3.0974162,0.0,0.0
ENSG00000154146,177.71321,1.8260313,0.0,0.0
ENSG00000110719,177.5004,3.4715466,0.0,0.0
ENSG00000136869,177.1609,6.2025833,0.0,0.0
ENSG00000093010,177.01057,3.278665,0.0,0.0
ENSG00000198355,176.92699,4.568197,0.0,0.0
ENSG00000171314,176.53926,2.9943395,0.0,0.0
ENSG00000123689,176.4466,30.42963,0.0,0.0
ENSG00000169413,176.41257,3.8162901,0.0,0.0
ENSG00000082074,175.79803,6.1384897,0.0,0.0
ENSG00000257923,175.67712,3.5302503,0.0,0.0
ENSG00000198053,175.5952,5.710536,0.0,0.0
ENSG00000155957,175.556,2.9720368,0.0,0.0
ENSG00000170006,175.54437,3.35245,0.0,0.0
ENSG00000048828,175.4279,3.1581204,0.0,0.0
ENSG00000064601,175.26595,3.3514426,0.0,0.0
ENSG00000100504,174.82472,5.5967693,0.0,0.0
ENSG00000012779,174.77113,4.1607943,0.0,0.0
ENSG00000132475,174.73495,14.330191,0.0,0.0
ENSG00000176463,174.63805,3.4743724,0.0,0.0
ENSG00000234745,174.40073,21.639965,0.0,0.0
ENSG00000130522,174.24498,6.1324673,0.0,0.0
ENSG00000118515,174.20662,6.747758,0.0,0.0
ENSG00000150991,173.86147,7.0225186,0.0,0.0
ENSG00000136040,173.49922,4.2884355,0.0,0.0
ENSG00000145819,173.37408,3.5209205,0.0,0.0
ENSG00000082996,173.1766,3.3042912,0.0,0.0
ENSG00000100697,172.9168,3.2597482,0.0,0.0
ENSG00000081189,172.8766,2.7977762,0.0,0.0
ENSG00000155629,172.71388,3.8740878,0.0,0.0
ENSG00000205302,172.70816,2.9962418,0.0,0.0
ENSG00000169967,172.2218,3.1411996,0.0,0.0
ENSG00000105383,172.17484,4.536439,0.0,0.0
ENSG00000125772,172.07544,3.3920877,0.0,0.0
ENSG00000108100,171.88098,3.188199,0.0,0.0
ENSG00000161011,171.85356,3.1250293,0.0,0.0
ENSG00000161929,171.75446,4.039609,0.0,0.0
ENSG00000149781,171.59335,2.8571036,0.0,0.0
ENSG00000138185,171.20946,4.477752,0.0,0.0
ENSG00000169403,171.04591,6.018455,0.0,0.0
ENSG00000034152,170.53534,3.4141045,0.0,0.0
ENSG00000129625,170.43541,2.7806413,0.0,0.0
ENSG00000107099,170.09814,2.970188,0.0,0.0
ENSG00000175538,169.7894,5.8383,0.0,0.0
ENSG00000129534,169.59262,3.313374,0.0,0.0
ENSG00000167604,169.24919,4.764416,0.0,0.0
ENSG00000124762,169.16989,5.137131,0.0,0.0
ENSG00000141526,169.10458,4.230538,0.0,0.0
ENSG00000136826,169.0835,4.9606075,0.0,0.0
ENSG00000100292,168.87895,5.5108285,0.0,0.0
ENSG00000008394,168.82426,5.523698,0.0,0.0
ENSG00000101084,168.78603,2.9347982,0.0,0.0
ENSG00000198736,168.778,4.4640403,0.0,0.0
ENSG00000125740,168.47351,5.264065,0.0,0.0
ENSG00000141504,168.38858,3.0314367,0.0,0.0
ENSG00000183648,168.31253,2.8205574,0.0,0.0
ENSG00000163171,168.25652,3.659931,0.0,0.0
ENSG00000102879,168.10846,4.395664,0.0,0.0
ENSG00000187446,167.87386,3.570747,0.0,0.0
ENSG00000277791,167.74803,2.6352293,0.0,0.0
ENSG00000135506,167.51686,2.9425051,0.0,0.0
ENSG00000146592,167.43994,5.7039404,0.0,0.0
ENSG00000100364,167.21074,3.9677923,0.0,0.0
ENSG00000198189,167.14227,2.9301183,0.0,0.0
ENSG00000070831,167.06505,4.287003,0.0,0.0
ENSG00000168214,166.78133,2.9287565,0.0,0.0
ENSG00000136051,166.71292,3.1383176,0.0,0.0
ENSG00000105887,166.62761,3.5838587,0.0,0.0
ENSG00000181631,166.58504,5.6992264,0.0,0.0
ENSG00000114013,166.3455,4.148466,0.0,0.0
ENSG00000141574,166.33194,5.5068164,0.0,0.0
ENSG00000120738,166.09322,7.1841893,0.0,0.0
ENSG00000164125,165.76918,6.2750435,0.0,0.0
ENSG00000171862,165.61635,2.914991,0.0,0.0
ENSG00000113749,165.45874,4.459498,0.0,0.0
ENSG00000224397,165.23465,6.1590505,0.0,0.0
ENSG00000108946,165.12717,2.734001,0.0,0.0
ENSG00000178209,165.0674,3.2679267,0.0,0.0
ENSG00000187164,165.05635,4.2890525,0.0,0.0
ENSG00000113916,164.9492,5.324742,0.0,0.0
ENSG00000120533,164.91891,2.7421145,0.0,0.0
ENSG00000168010,164.90532,3.5737906,0.0,0.0
ENSG00000241553,164.54588,2.6708734,0.0,0.0
ENSG00000101294,164.38953,2.933919,0.0,0.0
ENSG00000138744,164.32587,3.5729635,0.0,0.0
ENSG00000100599,164.31047,2.996661,0.0,0.0
ENSG00000176845,164.11382,3.3564277,0.0,0.0
ENSG00000205269,164.10416,5.3010516,0.0,0.0
ENSG00000169896,164.09544,3.6850727,0.0,0.0
ENSG00000108518,163.75201,6.85491,0.0,0.0
ENSG00000168172,163.59377,3.0216436,0.0,0.0
ENSG00000137393,163.42169,5.6082973,0.0,0.0
ENSG00000002549,163.26271,3.6239502,0.0,0.0
ENSG00000110446,163.16101,4.96053,0.0,0.0
ENSG00000223865,162.8636,5.7311378,0.0,0.0
