names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000070756,72.83371,16.534637,0.0,0.0
ENSG00000178127,72.78811,4.094981,0.0,0.0
ENSG00000127184,72.77648,10.984814,0.0,0.0
ENSG00000158869,72.74572,12.853813,0.0,0.0
ENSG00000167526,72.73477,76.529236,0.0,0.0
ENSG00000111775,72.63267,5.2182918,0.0,0.0
ENSG00000188612,72.592186,5.8672385,0.0,0.0
ENSG00000112695,72.5509,4.802667,0.0,0.0
ENSG00000042493,72.523705,5.0216007,0.0,0.0
ENSG00000088986,72.4981,5.7993665,0.0,0.0
ENSG00000188042,72.48291,14.271899,0.0,0.0
ENSG00000143947,72.43178,44.06663,0.0,0.0
ENSG00000112137,72.359695,5.059972,0.0,0.0
ENSG00000102317,72.32038,5.7585726,0.0,0.0
ENSG00000167658,72.291855,10.131157,0.0,0.0
ENSG00000121691,72.22703,4.189964,0.0,0.0
ENSG00000113269,72.08647,5.6871967,0.0,0.0
ENSG00000117410,71.90749,5.1005683,0.0,0.0
ENSG00000112081,71.90109,6.229963,0.0,0.0
ENSG00000130313,71.878845,5.228571,0.0,0.0
ENSG00000071082,71.86087,16.628332,0.0,0.0
ENSG00000156675,71.78104,5.01591,0.0,0.0
ENSG00000132963,71.73908,4.16035,0.0,0.0
ENSG00000152492,71.578255,10.112859,0.0,0.0
ENSG00000114902,71.56207,6.3541827,0.0,0.0
ENSG00000108561,71.51102,4.1598954,0.0,0.0
ENSG00000198804,71.42836,143.9655,0.0,0.0
ENSG00000104904,71.42802,19.261734,0.0,0.0
ENSG00000198258,71.253395,4.878081,0.0,0.0
ENSG00000154723,71.209145,4.1636376,0.0,0.0
ENSG00000139278,71.19495,5.265665,0.0,0.0
ENSG00000089220,71.19438,4.319863,0.0,0.0
ENSG00000138071,71.05313,7.541726,0.0,0.0
ENSG00000124783,71.04542,4.1723337,0.0,0.0
ENSG00000168028,71.03796,24.099712,0.0,0.0
ENSG00000149273,70.90459,37.48904,0.0,0.0
ENSG00000102879,70.87999,8.743542,0.0,0.0
ENSG00000119335,70.83699,6.7954817,0.0,0.0
ENSG00000023902,70.67834,5.3150125,0.0,0.0
ENSG00000103490,70.67114,6.1238647,0.0,0.0
ENSG00000162704,70.60115,8.039197,0.0,0.0
ENSG00000118816,70.58292,7.414815,0.0,0.0
ENSG00000198712,70.52418,97.25812,0.0,0.0
ENSG00000228474,70.46052,5.773709,0.0,0.0
ENSG00000135940,70.40994,5.8820276,0.0,0.0
ENSG00000156482,70.28945,48.27884,0.0,0.0
ENSG00000111786,70.171234,4.225673,0.0,0.0
ENSG00000092199,70.13142,5.6692357,0.0,0.0
ENSG00000184076,70.086876,4.737548,0.0,0.0
ENSG00000105887,70.05868,5.441026,0.0,0.0
ENSG00000128829,70.049706,4.436201,0.0,0.0
ENSG00000143110,70.00539,8.719788,0.0,0.0
ENSG00000188846,69.9926,29.678905,0.0,0.0
ENSG00000198886,69.98015,65.77722,0.0,0.0
ENSG00000119866,69.7765,6.961706,0.0,0.0
ENSG00000255302,69.756996,4.5747952,0.0,0.0
ENSG00000213719,69.36694,9.023715,0.0,0.0
ENSG00000034713,69.32477,3.8830981,0.0,0.0
ENSG00000149357,69.2997,4.417195,0.0,0.0
ENSG00000143549,69.28445,10.394727,0.0,0.0
ENSG00000114850,69.24061,3.9172795,0.0,0.0
ENSG00000181163,69.11603,9.712995,0.0,0.0
